final_figure	panel	panel_key	panel_title	construction_mode	source_id	primary_source_description	phase_hint	resolution_type	resolved_for_implementation	top_table_or_metadata_candidate	top_candidate_score	top_candidate_columns	n_ranked_table_candidates	visual_reference_assets	source_bundle_paths	requires_manual_candidate_selection
Figure_5	D	Figure_5D	Steroid synthesis versus response branch map	table_driven_rebuild	U26C1_steroid_quadrant	U26C1 steroid branch summary	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	39.0	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	True
Figure_5	E	Figure_5E	Pan-immune cholesterol-synthesis suppression	table_driven_rebuild	U26D2C_cholesterol	U26D2C broad reliability	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	49.0	population_level;population;feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible;mean_control_score;mean_UPEC_score;mean_difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p;module_mean_gene_log2FC;module_median_gene_log2FC;fraction_genes_positive_log2FC;fraction_genes_negative_log2FC;gene_direction_coherence;direction;exact_permutation_q_within_population;hedges_g_finite;variance_sensitive_hedges_g;cellular_evidence_class;cellular_localization_score;effect_direction	8			False
Figure_5	F	Figure_5F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	table_driven_rebuild	U26D2C_lipid_stress	U26D2C broad and subtype reliability	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	47.0	population_level;population;feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible;mean_control_score;mean_UPEC_score;mean_difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p;module_mean_gene_log2FC;module_median_gene_log2FC;fraction_genes_positive_log2FC;fraction_genes_negative_log2FC;gene_direction_coherence;direction;exact_permutation_q_within_population;hedges_g_finite;variance_sensitive_hedges_g;cellular_evidence_class;cellular_localization_score;effect_direction	8			True
Figure_5	G	Figure_5G	Highest-support refined cellular subtypes	reuse_and_rebuild	U27A4_Figure_7D	U27A4 Figure 7D	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_6	A	Figure_6A	Independent adipokine/insulin/carbon effects	reuse_and_rebuild	U27A4_Figure_8A	U27A4 Figure 8A	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png		True
Figure_6	B	Figure_6B	Pregnancy attenuation of leptin/IRS/PI3K-AKT	reuse_and_rebuild	U27A4_Figure_8B	U27A4 Figure 8B	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png		True
Figure_6	C	Figure_6C	Broad-cell signaling trajectories	reuse_and_rebuild	U27A4_Figure_8C	U27A4 Figure 8C	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png		True
Figure_6	D	Figure_6D	Refined-subtype adipokine and carbon support	reuse_and_rebuild	U27A4_Figure_8D	U27A4 Figure 8D	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png		True
Figure_6	E	Figure_6E	Leptin-IRS-PI3K/AKT network	table_driven_rebuild	U26C1_U26D2C_metabolic_network	U26C1/U26D2C core synthesis	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	42.0	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	False
Figure_6	F	Figure_6F	Glycolysis, HIF1A, glycogen and pentose phosphate	table_driven_rebuild	U26D2C_carbon	U26D2C broad/subtype reliability	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	47.0	population_level;population;feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible;mean_control_score;mean_UPEC_score;mean_difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p;module_mean_gene_log2FC;module_median_gene_log2FC;fraction_genes_positive_log2FC;fraction_genes_negative_log2FC;gene_direction_coherence;direction;exact_permutation_q_within_population;hedges_g_finite;variance_sensitive_hedges_g;cellular_evidence_class;cellular_localization_score;effect_direction	8			True
Figure_6	G	Figure_6G	Amino-acid transport and arginine-NO-urea	selected_rebuild	U27A4_Figure_9_selected_AA_NO	U27A4 Figure 9 source data	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.png		True
Figure_6	H	Figure_6H	Purine, NAD and NRF2-redox remodeling	selected_rebuild	U27A4_Figure_9_selected_purine_redox	U27A4 Figure 9 source data	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.png		True
Figure_7	A	Figure_7A	Complement effects organized by stage	reuse_and_rebuild	U27A4_Figure_10A	U27A4 Figure 10A	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.png		True
Figure_7	B	Figure_7B	Pregnancy complement effects	reuse_and_rebuild	U27A4_Figure_10B	U27A4 Figure 10B	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.png		True
Figure_7	C	Figure_7C	Broad-cell complement localization	reuse_and_rebuild	U27A4_Figure_10C	U27A4 Figure 10C	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.png		True
Figure_7	D	Figure_7D	Refined-subtype complement support	reuse_and_rebuild	U27A4_Figure_10D	U27A4 Figure 10D	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.png		True
Figure_7	E	Figure_7E	Complement branch topology	table_driven_rebuild	U26C1_U26D2C_complement_topology	U26C1/U26D2C complement synthesis	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	39.0	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	True
Figure_7	F	Figure_7F	C3a/C5a versus opsonophagocytosis	table_driven_rebuild	U26D2C_complement_comparison	U26D2C cellular attribution	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	42.0	feature_id;display_label;axis;proposed_figure_family;n_populations;n_positive_populations;n_negative_populations;directional_coherence_fraction;n_high_or_moderate_populations;top_population_by_composite_score;top_population_composite_score;top_population_evidence_class;top_population_mean_gene_log2FC;top_population_gene_direction_coherence;top_population_hedges_g;top_population_variance_sensitive_g;top_to_second_score_ratio;cellular_localization_class;median_mean_gene_log2FC;median_gene_direction_coherence;median_composite_score;top_refined_subtype;top_refined_subtype_composite_score;top_refined_subtype_mean_gene_log2FC;top_refined_subtype_gene_direction_coherence;top_refined_subtype_hedges_g;top_refined_subtype_variance_sensitive_g;biological_priority;manuscript_claim_priority;refined_infection_outcome_relation	8			False
Figure_7	G	Figure_7G	Coverage and evidence map	table_driven_rebuild	U26D2B_complement_coverage	U26D2B module coverage	U26D2B	table_or_metadata_driven	True	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_module_coverage.tsv	54.0	feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible	8			False
Figure_8	A	Figure_8A	Core modules across infection and pregnancy contexts	reuse_and_rebuild	U27A4_Figure_11A	U27A4 Figure 11A	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png		True
Figure_8	B	Figure_8B	Cell-source-resolved core localization	reuse_and_rebuild	U27A4_Figure_11B	U27A4 Figure 11B	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png		True
Figure_8	C	Figure_8C	UPEC-associated cell-composition shifts	selected_rebuild	U27A4_Figure_11C_composition	U27A4 Figure 11C composition subset	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png		True
Figure_8	D	Figure_8D	Treg-like and TNFSF9 macrophage states	selected_rebuild	U27A4_Figure_11C_targeted	U27A4 Figure 11C targeted-state subset	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png		True
Figure_8	E	Figure_8E	Integrated mechanistic network	reuse_and_rebuild	U27A4_Figure_11D	U27A4 Figure 11D	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png		True
Figure_8	F	Figure_8F	Evidence hierarchy and limitations	table_driven_rebuild	U26C1_U26D2C_evidence_boundary	U26C1 claim priorities and U26D2C boundaries	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	40.5	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	False
