panel_key	final_figure	panel	source_id	source_role	locked_path	selection_score	second_best_score	score_margin	schema_columns	visual_reference_assets	lock_status	locked_path_exists
Figure_1A	Figure_1	A	01_study_design_and_question_map	bulk_readiness	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_bulk_dataset_readiness.tsv	132.999999443			dataset;species;biological_role;observed_samples;canonical_genes;annotation_match_fraction;expression_scale_class;ready_for_scoring;critical_note		LOCKED_EXACT_RULE	True
Figure_1A	Figure_1	A	01_study_design_and_question_map	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	89.99998929			sample_id;annotation_row_matched;sample_geo_accession;tissue;treatment;primary_exposure;outcome;pregnancy_status;sex;inferred_group;dam_id;unresolved_required_fields;source_annotation_text		LOCKED_EXACT_RULE	True
Figure_1A	Figure_1	A	01_study_design_and_question_map	module_library	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	144.999982075			axis;submodule_id;display_label;n_genes;genes;biological_readout;priority_weight;proposed_figure_family		LOCKED_EXACT_RULE	True
Figure_1A	Figure_1	A	01_study_design_and_question_map	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	144.999994324			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		LOCKED_EXACT_RULE	True
Figure_1B	Figure_1	B	dataset_manifest	bulk_readiness	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_bulk_dataset_readiness.tsv	132.999999443			dataset;species;biological_role;observed_samples;canonical_genes;annotation_match_fraction;expression_scale_class;ready_for_scoring;critical_note		LOCKED_EXACT_RULE	True
Figure_1C	Figure_1	C	contrast_manifest	gse112098_adjusted	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE112098_age_sex_adjusted_results.tsv	167.999968274			dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;model_estimate;model_standard_error;model_t_value;model_p_value;degrees_freedom;direction;model_q_within_contrast;model_fdr_0_05;model_fdr_0_10		LOCKED_EXACT_RULE	True
Figure_1C	Figure_1	C	contrast_manifest	gse186800_factorial	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE186800_factorial_results.tsv	179.999844017			dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;mean_group_a;mean_group_b;mean_difference_a_minus_b;hedges_g;model_estimate;model_standard_error;model_t_value;model_p_value;degrees_freedom;direction;model_q_within_contrast;model_fdr_0_05;model_fdr_0_10		LOCKED_EXACT_RULE	True
Figure_1C	Figure_1	C	contrast_manifest	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	89.99998929			sample_id;annotation_row_matched;sample_geo_accession;tissue;treatment;primary_exposure;outcome;pregnancy_status;sex;inferred_group;dam_id;unresolved_required_fields;source_annotation_text		LOCKED_EXACT_RULE	True
Figure_1D	Figure_1	D	U26A_module_dictionary	module_library	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	144.999982075			axis;submodule_id;display_label;n_genes;genes;biological_readout;priority_weight;proposed_figure_family		LOCKED_EXACT_RULE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A1_targeted_source_contrast_species_repair/UTI_HostOmics_U26A1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A3_GSE280297_explicit_source_metadata_reconstruction/UTI_HostOmics_U26A3_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A4_GSE280297_established_asset_validation/UTI_HostOmics_U26A4_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26A5_GSE280297_final_input_resolution/UTI_HostOmics_U26A5_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26B2A_cross_dataset_input_preparation/UTI_HostOmics_U26B2A_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26D1_GSE252321_singlecell_asset_audit/UTI_HostOmics_U26D1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27A1_figure_visual_quality_audit/UTI_HostOmics_U27A1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27B11_legacy_source_confirmation_resolution/UTI_HostOmics_U27B11_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27B1_architecture_freeze_and_asset_mapping/UTI_HostOmics_U27B1_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1E	Figure_1	E	phase_workflow_manifest	phase_decision_bundle	project://06_tables/phaseU27B2A_panel_source_and_schema_resolution/UTI_HostOmics_U27B2A_phase_decision.tsv						LOCKED_BUNDLE	True
Figure_1F	Figure_1	F	U26C1_evidence_tiers	recurrence_ranking	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	132.999972849			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score		LOCKED_U27B2C2B_FULL_EVIDENCE_HIERARCHY	True
Figure_2A	Figure_2	A	U26B2B1_primary_effects	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv				dataset;primary_context;feature_type;axis;feature_id;display_label;proposed_figure_family;effect_value;effect_metric;direction;fdr_0_10;q_value;evidence_weight;interpretation_role;mean_tissue_effect;n_tissues;n_positive_tissues;n_negative_tissues;tissue_directional_coherence;best_tissue_q_value		LOCKED_EXPLICIT_REPAIR	True
Figure_2B	Figure_2	B	U26B2B1_classification	recurrence_ranking	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	132.999972849			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score		LOCKED_EXACT_RULE	True
Figure_2C	Figure_2	C	U26C1_core_network	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	144.999994324			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		LOCKED_EXACT_RULE	True
Figure_2D	Figure_2	D	U26C1_complement_core	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	144.999994324			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		LOCKED_EXACT_RULE	True
Figure_2E	Figure_2	E	U26B2B_GSE112098	gse112098_adjusted	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE112098_age_sex_adjusted_results.tsv	167.999968274			dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;model_estimate;model_standard_error;model_t_value;model_p_value;degrees_freedom;direction;model_q_within_contrast;model_fdr_0_05;model_fdr_0_10		LOCKED_EXACT_RULE	True
Figure_2F	Figure_2	F	U26B2B_GSE186800	gse186800_factorial	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE186800_factorial_results.tsv	179.999844017			dataset;contrast_id;biological_context;evidence_tier;group_a;group_b;n_group_a;n_group_b;feature_type;axis;feature_id;display_label;proposed_figure_family;mean_group_a;mean_group_b;mean_difference_a_minus_b;hedges_g;model_estimate;model_standard_error;model_t_value;model_p_value;degrees_freedom;direction;model_q_within_contrast;model_fdr_0_05;model_fdr_0_10		LOCKED_EXACT_RULE	True
Figure_2G	Figure_2	G	U26B2B1_U26C_network	recurrence_ranking	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	132.999972849			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score		LOCKED_EXACT_RULE	True
Figure_2G	Figure_2	G	U26B2B1_U26C_network	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	144.999994324			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		LOCKED_EXACT_RULE	True
Figure_3A	Figure_3	A	GSE280297_design	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	89.99998929			sample_id;annotation_row_matched;sample_geo_accession;tissue;treatment;primary_exposure;outcome;pregnancy_status;sex;inferred_group;dam_id;unresolved_required_fields;source_annotation_text		LOCKED_EXACT_RULE	True
Figure_3B	Figure_3	B	U26B1_1_C1	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	96.999998305	96.999996608	1.697000001854576e-06	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder		LOCKED_U27B2C2A_FULL_GSE280297_REPAIR	True
Figure_3C	Figure_3	C	U26B1_1_C1_concordance	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	132.999971884			contrast_id;feature_id;axis;display_label;proposed_figure_family;n_tissues;n_positive_tissues;n_negative_tissues;directional_coherence_fraction;dominant_direction;median_hedges_g;mean_absolute_hedges_g		LOCKED_EXACT_RULE	True
Figure_3D	Figure_3	D	U26C1_steroid_branching	decoupling_domains	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	132.999998858			domain;n_features;median_effect;mean_effect;n_positive;n_negative;directional_coherence;dominant_direction;refined_effect_class;refined_interpretation		LOCKED_EXACT_RULE	True
Figure_3E	Figure_3	E	U26B1_1_C2	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	96.999998305	96.999996608	1.697000001854576e-06	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder		LOCKED_U27B2C2A_FULL_GSE280297_REPAIR	True
Figure_3F	Figure_3	F	U26B1_1_C3	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	96.999998305	96.999996608	1.697000001854576e-06	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder		LOCKED_U27B2C2A_FULL_GSE280297_REPAIR	True
Figure_3G	Figure_3	G	U26B1_1_tissue_modules	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	132.999971884			contrast_id;feature_id;axis;display_label;proposed_figure_family;n_tissues;n_positive_tissues;n_negative_tissues;directional_coherence_fraction;dominant_direction;median_hedges_g;mean_absolute_hedges_g		LOCKED_EXACT_RULE	True
Figure_3G	Figure_3	G	U26B1_1_tissue_modules	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	96.999998305	96.999996608	1.697000001854576e-06	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder		LOCKED_U27B2C2A_FULL_GSE280297_REPAIR	True
Figure_3H	Figure_3	H	U26C1_pregnancy_model	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	132.999971884			contrast_id;feature_id;axis;display_label;proposed_figure_family;n_tissues;n_positive_tissues;n_negative_tissues;directional_coherence_fraction;dominant_direction;median_hedges_g;mean_absolute_hedges_g		LOCKED_EXACT_RULE	True
Figure_3H	Figure_3	H	U26C1_pregnancy_model	decoupling_domains	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	132.999998858			domain;n_features;median_effect;mean_effect;n_positive;n_negative;directional_coherence;dominant_direction;refined_effect_class;refined_interpretation		LOCKED_EXACT_RULE	True
Figure_3H	Figure_3	H	U26C1_pregnancy_model	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	144.999994324			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		LOCKED_EXACT_RULE	True
Figure_4A	Figure_4	A	U26D2A_embedding	balanced_annotations	project://03_metadata/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_balanced_cell_annotations.tsv.gz	168.99956428			cell_id;raw_barcode;sample_id;condition;replicate;total_expression;detected_genes;mitochondrial_expression;pct_mitochondrial;adaptive_qc_pass;balanced_subset_row;cluster;broad_cell_type;annotation_confidence;corrected_component_1;corrected_component_2		LOCKED_EXACT_RULE	True
Figure_4B	Figure_4	B	U26D2A_D2A1_markers	cluster_markers	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	80.999976128			cluster;rank;gene_symbol;cluster_mean_log_expression;outside_mean_log_expression;specificity_difference;global_mean_log_expression		LOCKED_EXACT_RULE	True
