dataset	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	welch_p_value	permutation_p_value	permutation_method	n_permutations	auc_group_a_higher	direction	permutation_q_within_contrast	welch_q_within_contrast	permutation_fdr_0_05	permutation_fdr_0_10
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	-0.18950407861280064	-0.6097004487972606	0.42019637018446	1.0573118233027665	0.10708378660826923	0.1111111111111111	exact	252	0.8	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.11571637133665717	-0.15377953822506085	0.26949590956171804	0.5109387801565547	0.4041458546938748	0.4444444444444444	exact	252	0.6	higher_in_group_a	0.6923076923076923	0.6547162846040772	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	0.11892775806770643	-0.18590672084503176	0.3048344789127382	0.924110326981544	0.1537280781069067	0.16666666666666666	exact	252	0.76	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	Figure_7	0.2850617231627027	-0.3046118512093744	0.5896735743720771	1.327345769340583	0.05990489607356774	0.05555555555555555	exact	252	0.88	higher_in_group_a	0.5357142857142857	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	-0.20975376916632996	-0.4647887152266982	0.25503494606036825	0.9208680608556717	0.1655447261841757	0.20634920634920634	exact	252	0.68	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	0.25961439143828047	-0.24456996210957316	0.5041843535478536	0.7841647459945283	0.22474229676476337	0.23809523809523808	exact	252	0.64	higher_in_group_a	0.5510204081632653	0.539631810525905	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	0.2554207554845904	-0.3011147996964451	0.5565355551810356	1.3409642136800488	0.04925510145944528	0.05555555555555555	exact	252	0.88	higher_in_group_a	0.5357142857142857	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	Figure_7	-0.09999143931646008	-0.12111332647030656	0.021121887153846483	0.08432877875315174	0.8874302902485395	0.873015873015873	exact	252	0.52	higher_in_group_a	0.9514285714285715	0.9656409112045938	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.32182075317135017	-0.22583386058076424	0.5476546137521144	0.7354037858015172	0.2514484870301185	0.20634920634920634	exact	252	0.8	higher_in_group_a	0.5424107142857143	0.5657590958177666	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	-0.16832103619144875	-0.3348308175396679	0.16650978134821917	0.33371500711932883	0.5759772177908965	0.5714285714285714	exact	252	0.6	higher_in_group_a	0.7714285714285715	0.7524863651784294	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	Figure_7	0.1571252300650617	-0.24707830647381854	0.40420353653888025	0.6315031061498133	0.320999503529036	0.373015873015873	exact	252	0.52	higher_in_group_a	0.6428571428571429	0.6154732094301467	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	Figure_7	0.09820988355040536	-0.32500794549362677	0.42321782904403216	1.0210291237261666	0.1409460419308133	0.15079365079365079	exact	252	0.72	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	Figure_7	0.1553831243469312	-0.088980687554336	0.24436381190126719	0.7720509212080437	0.217593238203584	0.21428571428571427	exact	252	0.68	higher_in_group_a	0.5424107142857143	0.539631810525905	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	0.26450377306796097	-0.09714514693209711	0.3616489200000581	0.6538606755229586	0.2884725836997673	0.2619047619047619	exact	252	0.72	higher_in_group_a	0.5733590733590734	0.5841569819920288	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.40744935669691057	-0.36613001946218626	0.7735793761590968	0.9569508502768143	0.163565853070489	0.16666666666666666	exact	252	0.88	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	Figure_7	0.27375053594653814	-0.20615717095385203	0.4799077069003902	0.9085123048821957	0.16659040123822635	0.1746031746031746	exact	252	0.8	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	Figure_7	0.40074628880839364	-0.2220234445064447	0.6227697333148383	1.0470073529912645	0.13749419239697164	0.07936507936507936	exact	252	0.8	higher_in_group_a	0.5357142857142857	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	Figure_7	0.2716721135292116	-0.4618773304345756	0.7335494439637872	1.2190137752835222	0.09014949432787737	0.03968253968253968	exact	252	0.92	higher_in_group_a	0.5357142857142857	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	Figure_7	-0.1109018099983814	0.015006050820642014	-0.12590786081902341	-0.5508751122569003	0.3663058196623222	0.373015873015873	exact	252	0.36	higher_in_group_b	0.6428571428571429	0.6450167694053934	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	0.01319085658684004	-0.15947642835060272	0.17266728493744277	0.30520106931032814	0.6114187149228962	0.6587301587301587	exact	252	0.52	higher_in_group_a	0.8208791208791208	0.7647637275902602	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	0.2969549227742916	-0.17834237477973933	0.47529729755403094	0.9771993292927202	0.14601304831402376	0.1349206349206349	exact	252	0.76	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	0.18101264986387888	-0.35366203292693055	0.5346746827908094	1.5203581621239004	0.039634477987499694	0.023809523809523808	exact	252	0.92	higher_in_group_a	0.5357142857142857	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	-0.06591775633909183	-0.23666042433761877	0.17074266799852694	0.456099433264045	0.44893975530538066	0.4365079365079365	exact	252	0.64	higher_in_group_a	0.6923076923076923	0.6993100034564583	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	-0.0845775199321037	-0.09305315882150861	0.008475638889404905	0.023694004221771123	0.9679354663882964	0.9682539682539683	exact	252	0.48	higher_in_group_a	0.9682539682539683	0.9679354663882965	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.3770903431783813	-0.3228366358083618	0.699926978986743	1.025282250895616	0.14231479741915842	0.12698412698412698	exact	252	0.76	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.38881238942639607	-0.27638823867836665	0.6652006281047627	0.7983348481210313	0.2318883611417428	0.3253968253968254	exact	252	0.6	higher_in_group_a	0.6428571428571429	0.539631810525905	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	-0.09359259389611566	0.03883804626504232	-0.13243064016115796	-0.35762126795053256	0.5570475618051309	0.5396825396825397	exact	252	0.4	higher_in_group_b	0.7536945812807881	0.7411876382461048	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	Figure_8	-0.126290803167768	-0.08231420930454697	-0.04397659386322103	-0.07210978958438626	0.9026688192809904	0.9206349206349206	exact	252	0.44	higher_in_group_b	0.9682539682539683	0.9656409112045938	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	0.23472652013426692	-0.02544722799907928	0.2601737481333462	0.6279340982364726	0.30591049965253947	0.30158730158730157	exact	252	0.72	higher_in_group_a	0.6107142857142857	0.6043597676062366	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	0.3662171626359577	-0.25956714105590745	0.6257843036918651	0.9760573704225216	0.15441321685155698	0.15873015873015872	exact	252	0.76	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	Figure_8	0.08383887660952946	-0.18597788858185196	0.2698167651913814	1.1446339005265753	0.10414469488353886	0.10317460317460317	exact	252	0.8	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	Figure_8	0.1575890901201397	-0.28581934630040573	0.4434084364205454	0.6978491061852535	0.27372060469358195	0.2698412698412698	exact	252	0.72	higher_in_group_a	0.575187969924812	0.5820496263147593	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	-0.02410526570142313	-0.07871831783474645	0.05461305213332332	0.16116006818884304	0.7856055112706934	0.7857142857142857	exact	252	0.56	higher_in_group_a	0.9017857142857143	0.9090578058989452	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.41337269490124395	-0.21052386422744815	0.6238965591286921	0.8934835370610044	0.18071392337390993	0.20634920634920634	exact	252	0.72	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.43497778649045704	-0.2566843828110615	0.6916621693015186	0.9101294660278204	0.17938376561192437	0.20634920634920634	exact	252	0.76	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	0.4036261810343508	-0.440937350275476	0.8445635313098268	1.2806856600346872	0.08037674724437081	0.03968253968253968	exact	252	0.88	higher_in_group_a	0.5357142857142857	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	0.5650188284278679	-0.36562711748965726	0.9306459459175251	1.1056078280731934	0.1133226158402135	0.09523809523809523	exact	252	0.8	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3443945503460262	-0.43775441380038166	0.7821489641464079	1.127712130881332	0.10924630168880888	0.06349206349206349	exact	252	0.84	higher_in_group_a	0.5357142857142857	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	0.3923654728666741	-0.14787731057406558	0.5402427834407397	0.8252654663432913	0.21074576660082842	0.2222222222222222	exact	252	0.72	higher_in_group_a	0.5454545454545454	0.539631810525905	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	-0.010415262136776526	-0.1877274151966771	0.17731215305990058	0.3617594414811783	0.5457594269618402	0.5555555555555556	exact	252	0.56	higher_in_group_a	0.7627118644067796	0.7411876382461048	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	Figure_8	-0.15699571563965747	-0.13993841817457886	-0.017057297465078614	-0.03380712918309926	0.9543468845711471	0.9682539682539683	exact	252	0.48	higher_in_group_b	0.9682539682539683	0.9679354663882965	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	0.019754208723968724	-0.2592438280169538	0.2789980367409225	0.5752726127953597	0.3440060702589476	0.35714285714285715	exact	252	0.64	higher_in_group_a	0.6428571428571429	0.6323797380714837	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	-0.13939158787028552	0.1439402484964655	-0.283331836366751	-0.525936909243938	0.3843770466145662	0.373015873015873	exact	252	0.28	higher_in_group_b	0.6428571428571429	0.6464959147860427	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	-0.12694684102913814	-0.11563740171213635	-0.01130943931700179	-0.026862113922446647	0.9636651798210141	0.9523809523809523	exact	252	0.48	higher_in_group_b	0.9682539682539683	0.9679354663882965	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	0.1454098372630815	-0.2155803348098148	0.3609901720728963	0.685902161532994	0.27109452554685676	0.24603174603174602	exact	252	0.76	higher_in_group_a	0.5535714285714285	0.5820496263147593	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	-0.2700070392543421	-0.4090277931217517	0.13902075386740959	0.47513406668642166	0.44714098873057384	0.42063492063492064	exact	252	0.48	higher_in_group_a	0.6814285714285714	0.6993100034564583	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	0.1396915169751395	-0.17848218518957343	0.31817370216471297	0.842143981956058	0.18631255309727604	0.18253968253968253	exact	252	0.8	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	0.20441948865079157	0.01398311448992895	0.19043637416086262	0.27995927510646107	0.6425990566164397	0.6587301587301587	exact	252	0.6	higher_in_group_a	0.8208791208791208	0.7768734863571882	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	-0.003003642174133803	-0.13031763655032347	0.12731399437618968	0.3789240645601216	0.526549565082677	0.48412698412698413	exact	252	0.64	higher_in_group_a	0.738095238095238	0.7411876382461048	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.27780862999945244	-0.38165815039412865	0.6594667803935811	1.0336980267709788	0.12963840986516262	0.1349206349206349	exact	252	0.76	higher_in_group_a	0.5424107142857143	0.5203902345130814	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	Figure_9	0.21296881737410578	-0.006789775078954096	0.21975859245305987	0.7504258991682132	0.2264882864624715	0.21428571428571427	exact	252	0.72	higher_in_group_a	0.5424107142857143	0.539631810525905	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	Figure_9	0.07807370168575117	-0.06151188399862584	0.139585585684377	0.29712469425574856	0.6231408150735454	0.7301587301587301	exact	252	0.52	higher_in_group_a	0.8571428571428571	0.7647637275902602	False	False
GSE186800	GSE186800_GARDNERELLA1_VS_PBS1	first_exposure_bladder	independent_mouse_bulk	Gardnerella_1	PBS_1	5	5	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	Figure_9	-0.078369826556752	-0.17614495033810806	0.09777512378135607	0.22571078315568202	0.703213722678865	0.7222222222222222	exact	252	0.56	higher_in_group_a	0.8571428571428571	0.825511761405624	False	False
