feature_id	display_label	axis	proposed_figure_family	n_complete_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	dominant_direction	top_absolute_effect_population	top_absolute_effect_hedges_g	top_positive_population	top_positive_hedges_g	top_negative_population	top_negative_hedges_g	median_effect	median_absolute_effect	n_populations_abs_g_ge_0_5	n_populations_abs_g_ge_0_8	median_gene_direction_coherence	biological_priority	manuscript_claim_priority	refined_infection_outcome_relation	is_predefined_focus_module
PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	immune_context_anchors	Integrated_network	6	6	0	1.0	higher_in_UPEC	NK_cell	3.4885634486459174	NK_cell	3.4885634486459174			1.6227325863289275	1.6227325863289275	6	6	0.9166666666666666				True
NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	immune_context_anchors	Integrated_network	6	6	0	1.0	higher_in_UPEC	cycling_immune	1.9733950219747316	cycling_immune	1.9733950219747316			1.590564936778961	1.590564936778961	6	6	0.9285714285714286				True
RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	adipokine_signaling	Figure_8	6	6	0	1.0	higher_in_UPEC	NK_cell	3.699888747131938	NK_cell	3.699888747131938			1.4429441797124762	1.4429441797124762	6	6	0.8636363636363636				True
LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	carbohydrate_inflammatory_carbon	Figure_8	6	6	0	1.0	higher_in_UPEC	T_cell	2.5044198669699513	T_cell	2.5044198669699513			1.1923993348809732	1.1923993348809732	6	6	0.8666666666666667				True
NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	nucleotide_nad_nitrogen	Figure_9	6	5	1	0.8333333333333334	higher_in_UPEC	cycling_immune	5.491838149233155	cycling_immune	5.491838149233155	neutrophil	-0.06912862110393102	2.624765583999005	2.624765583999005	5	5	0.6666666666666666				True
ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	amino_acid_metabolism	Figure_9	6	6	0	1.0	higher_in_UPEC	dendritic	6.359323037957078	dendritic	6.359323037957078			2.140670675602966	2.140670675602966	5	5	0.75				True
LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	Figure_8	6	5	1	0.8333333333333334	higher_in_UPEC	macrophage_monocyte	5.159261838765042	macrophage_monocyte	5.159261838765042	neutrophil	-0.062071371326985994	1.301263465245026	1.301263465245026	5	5	0.6818181818181819	robust_core	primary_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
GLUCOCORTICOID_RESPONSE	Glucocorticoid response	steroid_cholesterol_endocrine	Figure_7	6	6	0	1.0	higher_in_UPEC	T_cell	3.4772063482482642	T_cell	3.4772063482482642			1.3275360812656913	1.3275360812656913	5	4	0.8636363636363636				True
GLYCOGEN_SYNTHESIS	Glycogen synthesis	carbohydrate_inflammatory_carbon	Figure_8	6	6	0	1.0	higher_in_UPEC	neutrophil	2.610410898595803	neutrophil	2.610410898595803			1.1922225519390337	1.1922225519390337	4	4	0.7857142857142857	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	immune_context_anchors	Integrated_network	6	6	0	1.0	higher_in_UPEC	NK_cell	2.2560944867045607	NK_cell	2.2560944867045607			1.1911747900501155	1.1911747900501155	6	4	0.8333333333333334				True
FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	lipid_metabolism	Figure_7	6	5	1	0.8333333333333334	higher_in_UPEC	NK_cell	28.218150045310868	NK_cell	28.218150045310868	neutrophil	-0.17264109785587847	1.1573736282441118	1.1573736282441118	4	4	0.6666666666666666				True
GLYCOLYSIS	Glycolysis	carbohydrate_inflammatory_carbon	Figure_8	6	5	1	0.8333333333333334	higher_in_UPEC	dendritic	2.23226688002657	dendritic	2.23226688002657	neutrophil	-0.11487012708466506	1.1179488800721933	1.1179488800721933	4	4	0.6875				True
COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	Figure_10	6	6	0	1.0	higher_in_UPEC	dendritic	1.2782088185778975	dendritic	1.2782088185778975			1.0562175995817127	1.0562175995817127	6	4	0.9	provisional_core_exploratory_dependent	secondary_result_pending_celltype_reconstruction_with_state_dependent_reversal	direction_reversal	True
INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	insulin_irs_signaling	Figure_8	6	6	0	1.0	higher_in_UPEC	NK_cell	1.3985257466357064	NK_cell	1.3985257466357064			0.956672190626557	0.956672190626557	4	4	0.7941176470588235	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
STEROIDOGENESIS_CORE	Core steroidogenesis	steroid_cholesterol_endocrine	Figure_7	6	2	4	0.6666666666666666	lower_in_UPEC	cycling_immune	2.963924403071255	cycling_immune	2.963924403071255	neutrophil	-1.81144598579175	-0.4084548837487718	0.8043306105102216	3	3	0.6666666666666666				True
ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	steroid_cholesterol_endocrine	Figure_7	6	5	1	0.8333333333333334	higher_in_UPEC	NK_cell	1.7018221033367524	NK_cell	1.7018221033367524	neutrophil	-0.443628869877305	0.7788514687120129	0.7866331155309608	3	3	0.8333333333333333				True
PI3K_AKT_SIGNALING	PI3K-AKT signaling	insulin_irs_signaling	Figure_8	6	6	0	1.0	higher_in_UPEC	dendritic	1.0089955953305332	dendritic	1.0089955953305332			0.7438801781148598	0.7438801781148598	4	3	0.7647058823529411	robust_core	primary_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	steroid_cholesterol_endocrine	Figure_7	6	5	1	0.8333333333333334	higher_in_UPEC	NK_cell	0.9082311865403173	NK_cell	0.9082311865403173	neutrophil	-0.06988020258295914	0.6899565303277311	0.6899565303277311	4	3	0.75	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal	True
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	nucleotide_nad_nitrogen	Figure_9	6	5	1	0.8333333333333334	higher_in_UPEC	dendritic	1.5681776237613712	dendritic	1.5681776237613712	neutrophil	-0.5825080836615282	0.6263142398147861	0.6263142398147861	5	2	0.6153846153846154				True
TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	immune_context_anchors	Integrated_network	6	4	2	0.6666666666666666	higher_in_UPEC	dendritic	1.2390476502228271	dendritic	1.2390476502228271	neutrophil	-0.22381306860177824	0.4658878763243305	0.4658878763243305	3	2	0.6333333333333333	robust_core	primary_mechanistic_result_without_material_pregnancy_outcome_shift	pregnancy_near_neutral	True
COMPLEMENT_ALTERNATIVE	Alternative complement pathway	complement_architecture	Figure_10	6	4	2	0.6666666666666666	higher_in_UPEC	neutrophil	-0.7077511448132209	dendritic	0.5729223629236326	neutrophil	-0.7077511448132209	0.3704747172912287	0.448294160306801	2	0	0.6				True
COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture	Figure_10	6	4	2	0.6666666666666666	higher_in_UPEC	dendritic	0.602615022605475	dendritic	0.602615022605475	cycling_immune	-0.3963564134224962	0.13319042236054876	0.3211289957971505	1	0	0.625	provisional_core_exploratory_dependent	secondary_result_pending_celltype_reconstruction	direction_preserved	True
COMPLEMENT_CLASSICAL	Classical complement pathway	complement_architecture	Figure_10	6	2	4	0.6666666666666666	lower_in_UPEC	dendritic	0.7380994592546437	dendritic	0.7380994592546437	T_cell	-0.33156172696500025	-0.19187925514627185	0.26737611431559494	1	0	0.6875				True
COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	complement_architecture	Figure_10	6	5	1	0.8333333333333334	higher_in_UPEC	cycling_immune	3.35742577184472	cycling_immune	3.35742577184472	neutrophil	-0.29570656199933215	1.8000631679281138	1.8000631679281138	5	5	0.75				False
ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	adipokine_signaling	Figure_8	6	6	0	1.0	higher_in_UPEC	dendritic	3.8227558205777488	dendritic	3.8227558205777488			1.7042931162927255	1.7042931162927255	6	5	0.8500000000000001				False
AMINO_ACID_TRANSPORT	Amino-acid transport	amino_acid_metabolism	Figure_9	6	5	1	0.8333333333333334	higher_in_UPEC	dendritic	3.119946733734381	dendritic	3.119946733734381	neutrophil	-0.5346842785189474	1.497058825046099	1.497058825046099	6	5	0.6818181818181819	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal	False
LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	lipid_metabolism	Figure_7	6	6	0	1.0	higher_in_UPEC	macrophage_monocyte	6.986163111509749	macrophage_monocyte	6.986163111509749			1.4579679940621513	1.4579679940621513	5	5	0.7307692307692308				False
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	complement_architecture	Figure_10	6	2	4	0.6666666666666666	lower_in_UPEC	dendritic	3.2973083776767043	dendritic	3.2973083776767043	T_cell	-1.353759603958088	-0.48219227262890774	1.277249912758538	5	5	0.6428571428571428				False
GLUCOSE_TRANSPORT	Glucose transport	carbohydrate_inflammatory_carbon	Figure_8	6	6	0	1.0	higher_in_UPEC	cycling_immune	3.516225051743609	cycling_immune	3.516225051743609			1.0915446981600894	1.0915446981600894	5	5	0.8333333333333334				False
FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	lipid_metabolism	Figure_7	6	3	3	0.5	mixed	cycling_immune	1.9415755601548785	cycling_immune	1.9415755601548785	neutrophil	-1.7743624850340303	0.37166666588840597	1.0124175502035395	5	5	0.75	secondary	supporting_mechanistic_result_with_state_dependent_reversal	direction_reversal	False
CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	steroid_cholesterol_endocrine	Figure_7	6	0	6	1.0	lower_in_UPEC	T_cell	-2.030866791941088			T_cell	-2.030866791941088	-0.9777186032036582	0.9777186032036582	6	5	0.9166666666666667				False
SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	amino_acid_metabolism	Figure_9	6	3	3	0.5	mixed	neutrophil	-7.006943205500761	cycling_immune	5.770176508571884	neutrophil	-7.006943205500761	0.11009331314985926	0.9728145515118947	6	5	0.8461538461538461				False
ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	catecholamine_stress_adjacent	Figure_9	6	3	3	0.5	mixed	dendritic	4.990891530110247	dendritic	4.990891530110247	neutrophil	-4.467637851059709	0.5836722997125157	1.6992036424481518	5	4	0.7				False
TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	amino_acid_metabolism	Figure_9	6	2	4	0.6666666666666666	lower_in_UPEC	neutrophil	-5.7744701807595655	T_cell	3.2172858250234277	neutrophil	-5.7744701807595655	-0.545390959028832	1.5675657032579142	4	4	0.7142857142857143				False
AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	amino_acid_metabolism	Figure_9	6	1	5	0.8333333333333334	lower_in_UPEC	neutrophil	-6.2493661242133784	cycling_immune	0.665339059226794	neutrophil	-6.2493661242133784	-1.4115355858858338	1.4115355858858338	6	4	0.9166666666666667				False
MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	steroid_cholesterol_endocrine	Figure_7	6	4	2	0.6666666666666666	higher_in_UPEC	neutrophil	-1.800743260572657	dendritic	1.7769442998270737	neutrophil	-1.800743260572657	0.7779193511029798	1.4007939438265735	4	4	0.6666666666666666				False
GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	amino_acid_metabolism	Figure_9	6	5	1	0.8333333333333334	higher_in_UPEC	neutrophil	-4.675589565490406	T_cell	1.487444776595176	neutrophil	-4.675589565490406	0.7535704499731557	1.38217372507378	4	4	0.7272727272727273				False
PURINE_DEGRADATION_URATE	Purine degradation and urate	nucleotide_nad_nitrogen	Figure_9	6	6	0	1.0	higher_in_UPEC	NK_cell	1.8576159446398648	NK_cell	1.8576159446398648			1.3376517192498105	1.3376517192498105	4	4	0.7222222222222222				False
PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	nucleotide_nad_nitrogen	Figure_9	6	1	5	0.8333333333333334	lower_in_UPEC	cycling_immune	6.929486710221852	cycling_immune	6.929486710221852	neutrophil	-1.9328525820115416	-0.525152298440108	1.2725365108996345	4	4	0.8636363636363636				False
AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	insulin_irs_signaling	Figure_8	6	4	2	0.6666666666666666	higher_in_UPEC	neutrophil	-2.031113381417306	NK_cell	1.5727870839748825	neutrophil	-2.031113381417306	0.5266114894417194	1.1168236222051122	4	4	0.7222222222222222				False
OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	immune_context_anchors	Integrated_network	6	5	1	0.8333333333333334	higher_in_UPEC	dendritic	1.4041612407472996	dendritic	1.4041612407472996	neutrophil	-0.23346796591209185	0.8498987108809213	0.8498987108809213	5	4	0.6923076923076923				False
PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	nucleotide_nad_nitrogen	Figure_9	6	3	3	0.5	mixed	neutrophil	-1.9898867612205702	cycling_immune	0.8235645511336501	neutrophil	-1.9898867612205702	-0.13626175098333054	0.8313118565611126	6	4	0.8636363636363636				False
GLUCONEOGENESIS	Gluconeogenesis	carbohydrate_inflammatory_carbon	Figure_8	6	4	2	0.6666666666666666	higher_in_UPEC	neutrophil	-2.0360993255346576	cycling_immune	1.4264366780888875	neutrophil	-2.0360993255346576	0.4284982088360699	0.8914105767569227	4	3	0.6875				False
PYRIMIDINE_DEGRADATION	Pyrimidine degradation	nucleotide_nad_nitrogen	Figure_9	6	2	4	0.6666666666666666	lower_in_UPEC	T_cell	-2.2086560012019	cycling_immune	1.0142596652824942	T_cell	-2.2086560012019	-0.6595467215583597	0.8657787724739195	5	3	0.7142857142857143				False
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	catecholamine_stress_adjacent	Figure_9	6	1	5	0.8333333333333334	lower_in_UPEC	neutrophil	-2.1732483555864235	cycling_immune	1.0428183959942185	neutrophil	-2.1732483555864235	-0.4600227100879155	0.7891416682414774	4	3	0.7				False
PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	adipokine_signaling	Figure_8	6	3	3	0.5	mixed	T_cell	2.4347225651451327	T_cell	2.4347225651451327	neutrophil	-2.213090314937715	-0.04607692440265234	0.7196949244093622	3	3	0.6				False
PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	lipid_metabolism	Figure_7	6	3	3	0.5	mixed	neutrophil	-8.70218386852812	T_cell	0.928887323272913	neutrophil	-8.70218386852812	-0.008183420599429912	0.6799929354408998	3	3	0.6333333333333333				False
PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	steroid_cholesterol_endocrine	Figure_7	6	4	2	0.6666666666666666	higher_in_UPEC	neutrophil	-1.1904791396663552	cycling_immune	1.0339382761225406	neutrophil	-1.1904791396663552	0.3170159368526923	0.6680003811799873	3	3	0.6666666666666666				False
ADIPONECTIN_SIGNALING	Adiponectin signaling	adipokine_signaling	Figure_8	6	5	1	0.8333333333333334	higher_in_UPEC	T_cell	1.4437178934309685	T_cell	1.4437178934309685	neutrophil	-1.0046368978805738	0.14863750175410312	0.600088274336919	3	3	0.625				False
SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	lipid_metabolism	Figure_7	6	5	1	0.8333333333333334	higher_in_UPEC	T_cell	1.5736901842909106	T_cell	1.5736901842909106	neutrophil	-0.34782805775763664	0.4619495302704314	0.5868054771721556	3	3	0.6111111111111112				False
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	steroid_cholesterol_endocrine	Figure_7	6	4	2	0.6666666666666666	higher_in_UPEC	T_cell	0.9540195084261813	T_cell	0.9540195084261813	cycling_immune	-0.8773526170190395	0.3589931963766459	0.6788976199698568	4	2	0.625				False
AGE_RAGE_SIGNALING	AGE-RAGE signaling	carbohydrate_inflammatory_carbon	Figure_8	6	6	0	1.0	higher_in_UPEC	dendritic	1.459004553633405	dendritic	1.459004553633405			0.6644771530414286	0.6644771530414286	6	2	0.6785714285714286				False
PURINE_SALVAGE	Purine salvage	nucleotide_nad_nitrogen	Figure_9	6	6	0	1.0	higher_in_UPEC	T_cell	4.547137271715694	T_cell	4.547137271715694			0.659393945039015	0.659393945039015	5	2	0.7				False
NAD_METABOLISM	NAD metabolism	nucleotide_nad_nitrogen	Figure_9	6	3	3	0.5	mixed	cycling_immune	1.674145230007663	cycling_immune	1.674145230007663	neutrophil	-1.5787506830677338	0.05304011259532204	0.6495009613614793	5	2	0.625				False
ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	steroid_cholesterol_endocrine	Figure_7	6	1	5	0.8333333333333334	lower_in_UPEC	T_cell	-2.7023603201603184	cycling_immune	0.6216669787127179	T_cell	-2.7023603201603184	-0.6441773304563088	0.6441773304563088	5	2	0.6666666666666666				False
METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	amino_acid_metabolism	Figure_9	6	3	3	0.5	mixed	neutrophil	-1.791816149849634	cycling_immune	0.8341208904784976	neutrophil	-1.791816149849634	0.016584533847938676	0.6198510465968525	4	2	0.8				False
LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	steroid_cholesterol_endocrine	Figure_7	6	4	2	0.6666666666666666	higher_in_UPEC	neutrophil	-1.014105277495828	T_cell	0.9515306012529541	neutrophil	-1.014105277495828	0.25201322612890414	0.5877852875720061	3	2	0.6666666666666666				False
MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	insulin_irs_signaling	Figure_8	6	2	4	0.6666666666666666	lower_in_UPEC	neutrophil	-1.586894881976303	T_cell	0.8552471697065297	neutrophil	-1.586894881976303	-0.2683143662092169	0.5477230681398442	4	2	0.6923076923076923				False
AMPK_SIGNALING	AMPK signaling	carbohydrate_inflammatory_carbon	Figure_8	6	3	3	0.5	mixed	cycling_immune	1.5512060634894482	cycling_immune	1.5512060634894482	neutrophil	-0.4056755463223108	0.2714673485068935	0.5354664963575441	3	2	0.5833333333333334				False
PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	steroid_cholesterol_endocrine	Figure_7	6	5	1	0.8333333333333334	higher_in_UPEC	neutrophil	-1.1567759017871475	cycling_immune	0.8690704515412443	neutrophil	-1.1567759017871475	0.281041713316982	0.4866772007188631	3	2	0.6363636363636364				False
COMPLEMENT_REGULATORS	Complement regulators	complement_architecture	Figure_10	6	2	4	0.6666666666666666	lower_in_UPEC	cycling_immune	11.637537118707984	cycling_immune	11.637537118707984	dendritic	-0.9933345538776187	-0.06603908073600302	0.1992944155881599	2	2	0.6				False
PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	carbohydrate_inflammatory_carbon	Figure_8	6	5	1	0.8333333333333334	higher_in_UPEC	cycling_immune	1.6335671618331162	cycling_immune	1.6335671618331162	neutrophil	-0.6710043035629952	0.6316700034586122	0.6647953066063941	5	1	0.6666666666666666				False
UREA_CYCLE	Urea cycle	nucleotide_nad_nitrogen	Figure_9	6	5	1	0.8333333333333334	higher_in_UPEC	cycling_immune	0.9257839143461558	cycling_immune	0.9257839143461558	neutrophil	-0.28195816186310324	0.4308434795093339	0.43945083423089004	3	1	0.5714285714285714				False
CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	catecholamine_stress_adjacent	Figure_9	6	5	1	0.8333333333333334	higher_in_UPEC	T_cell	1.1646120801168143	T_cell	1.1646120801168143	neutrophil	-0.2448874720609984	0.415966075599342	0.415966075599342	2	1	0.6428571428571429				False
BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	amino_acid_metabolism	Figure_9	6	2	4	0.6666666666666666	lower_in_UPEC	neutrophil	-2.522242287603048	cycling_immune	0.15759326926623105	neutrophil	-2.522242287603048	-0.39642268809584746	0.39642268809584746	3	1	0.625				False
GLYCOGENOLYSIS	Glycogenolysis	carbohydrate_inflammatory_carbon	Figure_8	6	4	2	0.6666666666666666	higher_in_UPEC	neutrophil	-0.9527893210962294	dendritic	0.6067577508569075	neutrophil	-0.9527893210962294	0.08967919291278847	0.3963607411546911	3	1	0.625				False
FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	lipid_metabolism	Figure_7	6	2	4	0.6666666666666666	lower_in_UPEC	neutrophil	-1.5886067769775098	cycling_immune	0.6987548843910683	neutrophil	-1.5886067769775098	-0.26187935782658167	0.3915297191863753	2	1	0.6071428571428572				False
STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	steroid_cholesterol_endocrine	Figure_7	6	5	1	0.8333333333333334	higher_in_UPEC	neutrophil	-1.3353143077791783	T_cell	0.5769483595129619	neutrophil	-1.3353143077791783	0.2557363564471178	0.3786376397830509	2	1	0.6428571428571428				False
UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	immune_context_anchors	Integrated_network	6	5	1	0.8333333333333334	higher_in_UPEC	cycling_immune	2.074266787605787	cycling_immune	2.074266787605787	neutrophil	-0.43031712191638244	0.26232542936177383	0.3747640417779905	1	1	0.7666666666666666				False
TCA_OXPHOS	TCA cycle and oxidative phosphorylation	carbohydrate_inflammatory_carbon	Figure_8	6	2	4	0.6666666666666666	lower_in_UPEC	neutrophil	-1.6762183141918285	NK_cell	0.23467071651086627	neutrophil	-1.6762183141918285	-0.3715419136218906	0.3715419136218906	2	1	0.6499999999999999				False
MTOR_SIGNALING	mTOR signaling	carbohydrate_inflammatory_carbon	Figure_8	6	1	5	0.8333333333333334	lower_in_UPEC	neutrophil	-2.975006458438677	NK_cell	0.03317796855034618	neutrophil	-2.975006458438677	-0.37093077023722754	0.37093077023722754	2	1	0.6578947368421053				False
PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	lipid_metabolism	Figure_7	6	3	3	0.5	mixed	neutrophil	-1.512084600469404	dendritic	0.5871253551409907	neutrophil	-1.512084600469404	0.06888904121265407	0.3705918183164699	3	1	0.5625				False
EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	lipid_metabolism	Figure_7	6	3	3	0.5	mixed	cycling_immune	-0.7621844543057936	NK_cell	0.4523768737424688	cycling_immune	-0.7621844543057936	-0.1535200826491829	0.4330751262535192	2	0	0.6				False
