feature_id	display_label	axis	proposed_figure_family	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g
LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	Figure_8	6	6	0	1.0	3	T_cell	0.9747857684054733	high_cellular_localization_support	0.5275647192697792	1.0	1.7478576840547315	False	1.098054279129448	multi_compartment_contextual	0.31435580555870213	0.6818181818181819	0.5504942078932945	XCR1_CLEC9A_cDC1_like	0.939824050156798	0.6418753924273782	1.0	1.3982405015679795	False
GLUCONEOGENESIS	Gluconeogenesis	carbohydrate_inflammatory_carbon	Figure_8	6	5	1	0.8333333333333334	3	neutrophil	0.825	high_cellular_localization_support	-1.006860311718763	0.75	-2.0360993255346576	False	1.1913535529895392	multi_compartment_contextual	0.25412048543884136	0.6875	0.5218171269432683	IL1B_CXCL2_inflammatory_neutrophil	0.825	-1.0095423663267051	0.75	-2.354345418614787	False
METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	amino_acid_metabolism	Figure_9	6	3	3	0.5	3	NK_cell	0.7178321348919655	moderate_cellular_localization_support	0.5770364700865038	0.8	0.5783213489196549	False	1.0546481182226048	branch_divergent	0.020970386402003254	0.8	0.4830073254282158	cytotoxic_NK	0.8785713737018688	0.6610880141742909	0.9	1.4857137370186877	False
LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	steroid_cholesterol_endocrine	Figure_7	6	4	2	0.6666666666666666	3	T_cell	0.8951530601252955	high_cellular_localization_support	0.6305262268068502	1.0	0.951530601252954	False	1.3679559401905077	lymphoid_dominant	0.17793277397521978	0.6666666666666666	0.47477247944575396	IL2RA_TNFRSF18_regulatory_type2_like_T	0.9835229657660927	0.7541427377638807	1.0	1.8352296576609255	False
PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	steroid_cholesterol_endocrine	Figure_7	6	3	3	0.5	3	cycling_immune	0.9033938276122542	high_cellular_localization_support	1.4730812639725075	1.0	1.0339382761225406	False	1.1258910033755087	branch_divergent	0.0555231108218282	0.6666666666666666	0.4631783438077896	gamma_delta_like_T	1.0	1.4219848797339996	1.0	2.677846726681452	False
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	catecholamine_stress_adjacent	Figure_9	6	1	5	0.8333333333333334	3	neutrophil	0.9299999999999999	high_cellular_localization_support	-1.638459456676713	0.9	-2.1732483555864235	False	1.2168285988418028	myeloid_dominant	-0.20341582164702235	0.7	0.457916132216421	IL1B_CXCL2_inflammatory_neutrophil	0.92915412615412	-1.427631759684345	0.9	-1.9915412615412	False
STEROIDOGENESIS_CORE	Core steroidogenesis	steroid_cholesterol_endocrine	Figure_7	6	2	4	0.6666666666666666	3	cycling_immune	0.8833333333333333	high_cellular_localization_support	0.7897133879585937	0.8333333333333334	2.963924403071255	False	1.0218113160842761	branch_divergent	-0.20569050148178586	0.6666666666666666	0.4388629294983718	MKI67_TOP2A_cycling_immune	0.8833333333333333	0.7897133879585937	0.8333333333333334	2.963924403071255	False
BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	amino_acid_metabolism	Figure_9	6	3	3	0.5	3	neutrophil	0.9416666666666667	high_cellular_localization_support	-1.002297302028684	0.9166666666666666	-2.522242287603048	False	1.7694966200190985	myeloid_dominant	-0.07776005405808481	0.625	0.2696752826424149	PF4_MRC1_C1Q_macrophage	1.0	-0.938199716057008	1.0	-3.325728762402223	False
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	complement_architecture	Figure_10	6	5	1	0.8333333333333334	2	dendritic	0.8	moderate_cellular_localization_support	1.1055410520866038	0.7142857142857143	3.2973083776767043	False	1.099861816994988	multi_compartment_contextual	0.28351266254545604	0.6428571428571428	0.539207491117091	CD209A_CLEC10A_cDC2_like	0.8	1.0651334522100786	0.7142857142857143	6.448729868908426	True
GLYCOLYSIS	Glycolysis	carbohydrate_inflammatory_carbon	Figure_8	6	5	1	0.8333333333333334	2	NK_cell	0.5817558411851016	moderate_cellular_localization_support	0.2396556144892697	0.75	1.910657881447588	False	1.036282865539973	multi_compartment_contextual	0.16109965089295294	0.6875	0.5016676219831773	PF4_MRC1_C1Q_macrophage	0.9124999999999999	0.7409656353341221	0.875	2.032525799383079	False
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	nucleotide_nad_nitrogen	Figure_9	6	5	1	0.8333333333333334	2	dendritic	0.6218572995120117	moderate_cellular_localization_support	0.3073088874159291	0.7692307692307693	1.5681776237613712	False	1.2808857655285968	myeloid_dominant	0.27085978468022975	0.6153846153846154	0.45984774506882214	LY6C2_VCAN_inflammatory_monocyte	0.8214489753359294	0.4769597353139065	0.8461538461538461	1.4987752124572131	False
MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	steroid_cholesterol_endocrine	Figure_7	6	4	2	0.6666666666666666	2	neutrophil	0.7467409927239324	moderate_cellular_localization_support	-0.9647904489217808	0.6666666666666666	-1.800743260572657	False	1.0468547110962798	branch_divergent	0.0918834285782748	0.6666666666666666	0.45069312475273576	C1Q_APOE_resident_macrophage	0.8444444444444446	-1.08995577548904	0.7777777777777778	-3.062893845273621	False
PI3K_AKT_SIGNALING	PI3K-AKT signaling	insulin_irs_signaling	Figure_8	6	6	0	1.0	2	T_cell	0.5841541229069482	moderate_cellular_localization_support	0.2464607101782985	0.8823529411764706	0.946924249229502	False	1.0801829626780726	multi_compartment_contextual	0.1712326090850225	0.7647058823529411	0.43437971892918265	IL2RA_TNFRSF18_regulatory_type2_like_T	0.8319874786285286	0.3590710546852934	0.9411764705882352	2.25268933506853	False
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	steroid_cholesterol_endocrine	Figure_7	6	4	2	0.6666666666666666	2	neutrophil	0.5963401258698603	directional_cellular_support	-0.5170626626882517	0.625	-0.5884012586986035	False	1.187853200337827	branch_divergent	0.1132591475323381	0.625	0.4082153073813879	IL2RA_TNFRSF18_regulatory_type2_like_T	0.6615292444370666	0.3702381718515942	0.6875	1.9706488977063188	False
SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	lipid_metabolism	Figure_7	6	5	1	0.8333333333333334	2	T_cell	0.8018134628735356	high_cellular_localization_support	0.6198671603206729	0.7777777777777778	1.5736901842909106	False	1.2937478314914161	lymphoid_dominant	0.3100664552136756	0.6111111111111112	0.403032540497129	IL2RA_TNFRSF18_regulatory_type2_like_T	0.8444444444444446	0.7028545140290644	0.7777777777777778	3.4454694198839007	False
PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	lipid_metabolism	Figure_7	6	3	3	0.5	2	neutrophil	0.8600000000000001	high_cellular_localization_support	-0.5999788118985645	0.8	-8.70218386852812	True	2.1368293450979574	myeloid_dominant	0.01828465525666035	0.6333333333333333	0.3634796655790716	IL1B_CXCL2_inflammatory_neutrophil	0.8133333333333332	-0.5492120928873557	0.7333333333333333	-2.887965237169869	False
MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	insulin_irs_signaling	Figure_8	6	3	3	0.5	2	neutrophil	0.7971510266591688	high_cellular_localization_support	-0.68201322185443	0.7692307692307693	-1.586894881976303	False	1.8614369813224672	myeloid_dominant	-0.014682933953892197	0.6923076923076923	0.3568485838731629	IL1B_CXCL2_inflammatory_neutrophil	0.7518437247293233	-0.5432758535241985	0.7692307692307693	-1.1338218626778478	False
PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	carbohydrate_inflammatory_carbon	Figure_8	6	4	2	0.6666666666666666	2	neutrophil	0.6337670970229662	moderate_cellular_localization_support	-0.6712400807064577	0.6666666666666666	-0.6710043035629952	False	1.0723070746262688	branch_divergent	0.0617947304188462	0.6666666666666666	0.28264247414703125	XCR1_CLEC9A_cDC1_like	0.8543522680898459	0.5401735099250087	0.8888888888888888	1.3213004586762378	False
TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	immune_context_anchors	Integrated_network	6	5	1	0.8333333333333334	2	T_cell	0.6744630100620629	high_cellular_localization_support	0.3901346357577042	0.8	1.1334183788012908	False	1.2051780753501373	lymphoid_dominant	0.14528455952158434	0.6333333333333333	0.2453264411363554	conventional_activated_T	0.8235005427435265	0.4929729831257657	0.8666666666666667	1.2315819126367065	False
GLYCOGENOLYSIS	Glycogenolysis	carbohydrate_inflammatory_carbon	Figure_8	6	5	1	0.8333333333333334	2	neutrophil	0.6619455987762896	moderate_cellular_localization_support	-0.5062456996436597	0.6666666666666666	-0.9527893210962294	False	1.756790035382516	myeloid_dominant	0.11078156408582285	0.625	0.22832263477027642	IL1B_CXCL2_inflammatory_neutrophil	0.5247192966412801	-0.4497467045697768	0.5833333333333334	-0.6161392919514772	False
UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	immune_context_anchors	Integrated_network	6	5	1	0.8333333333333334	1	cycling_immune	1.0	high_cellular_localization_support	1.475275503113327	1.0	2.074266787605787	False	1.3338697644282926	cycling_immune_dominant	0.46394441361088457	0.7666666666666666	0.6599008819675853	MKI67_TOP2A_cycling_immune	1.0	1.475275503113327	1.0	2.074266787605787	False
CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	catecholamine_stress_adjacent	Figure_9	6	5	1	0.8333333333333334	1	T_cell	0.7164612080116814	moderate_cellular_localization_support	0.7738738359255031	0.7142857142857143	1.1646120801168145	False	1.1141692307696862	multi_compartment_contextual	0.5722644541566508	0.6428571428571429	0.5776925108326416	cytotoxic_NK	0.9274646316290326	1.094381985290276	1.0	1.2746463162903254	False
UREA_CYCLE	Urea cycle	nucleotide_nad_nitrogen	Figure_9	6	6	0	1.0	1	dendritic	0.6624751180666812	moderate_cellular_localization_support	0.9745986607852712	0.7142857142857143	0.6247511806668121	False	1.1179535528841134	multi_compartment_contextual	0.940464909646821	0.5714285714285714	0.5430843479509334	cytotoxic_NK	1.0	1.0568417657900615	1.0	4.087205656758523	False
PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	adipokine_signaling	Figure_8	6	4	2	0.6666666666666666	1	neutrophil	0.8600000000000001	high_cellular_localization_support	-0.8054758999496764	0.8	-2.213090314937715	False	1.386452566719704	myeloid_dominant	0.14653317289054163	0.6	0.42366636942739067	CD209A_CLEC10A_cDC2_like	0.8027924286148764	0.8674743596045775	0.8	1.4279242861487635	False
COMPLEMENT_REGULATORS	Complement regulators	complement_architecture	Figure_10	6	3	3	0.5	1	cycling_immune	0.8600000000000001	high_cellular_localization_support	1.9229879916613728	0.8	11.637537118707984	True	1.614857363475746	cycling_immune_dominant	0.011954424710281901	0.6	0.37879644065005497	C1Q_APOE_resident_macrophage	0.8600000000000001	-1.0306058222993846	0.8	-3.1827046445007623	False
COMPLEMENT_CLASSICAL	Classical complement pathway	complement_architecture	Figure_10	6	2	4	0.6666666666666666	1	dendritic	0.8738099459254645	moderate_cellular_localization_support	0.8500413947027212	1.0	0.7380994592546437	False	1.5249580148761475	myeloid_dominant	-0.0209367260292061	0.6875	0.3747956270529365	PF4_MRC1_C1Q_macrophage	0.9124999999999999	-0.9485175140515444	0.875	-2.763778294100784	False
NAD_METABOLISM	NAD metabolism	nucleotide_nad_nitrogen	Figure_9	6	3	3	0.5	1	neutrophil	0.7828750683067733	high_cellular_localization_support	-0.971920440927688	0.75	-1.5787506830677338	False	1.6115656628349997	myeloid_dominant	0.08591248889585834	0.625	0.3542279918381771	IL1B_CXCL2_inflammatory_neutrophil	0.6412564774209942	-0.5756641553953629	0.6875	-0.6000647742099418	False
AMPK_SIGNALING	AMPK signaling	carbohydrate_inflammatory_carbon	Figure_8	6	4	2	0.6666666666666666	1	T_cell	0.48281252580111667	directional_cellular_support	0.185237422377275	0.8333333333333334	0.8276551232823584	False	1.0614135038306243	branch_divergent	0.13455035096973383	0.5833333333333334	0.34457402178667484	conventional_activated_T	0.6524942298012882	0.4204183097132175	0.75	0.9911775105939246	False
ADIPONECTIN_SIGNALING	Adiponectin signaling	adipokine_signaling	Figure_8	6	4	2	0.6666666666666666	1	cycling_immune	0.8364538397258844	high_cellular_localization_support	0.5341603263443309	0.875	1.2395383972588443	False	1.3111307949262268	cycling_immune_dominant	0.13989100486224776	0.625	0.3333758001211017	IL2RA_TNFRSF18_regulatory_type2_like_T	0.8779482418921697	0.4952187425093333	0.875	1.697513736337698	False
STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	steroid_cholesterol_endocrine	Figure_7	6	5	1	0.8333333333333334	1	neutrophil	0.7335314307779178	moderate_cellular_localization_support	-0.6327017060946092	0.7142857142857143	-1.3353143077791785	False	2.2538244502305047	myeloid_dominant	0.13639134649782214	0.6428571428571428	0.2918824751882625	IL2RA_TNFRSF18_regulatory_type2_like_T	0.8999999999999999	0.5712460649755762	0.8571428571428571	3.3914925696762173	False
EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	lipid_metabolism	Figure_7	6	4	2	0.6666666666666666	1	dendritic	0.5160482503754372	directional_cellular_support	0.4128987036035753	0.6666666666666666	0.2777275046555288	False	1.0676349762183286	branch_divergent	0.19556942319489662	0.6	0.2864911388364965	PF4_MRC1_C1Q_macrophage	0.6722866098869136	-0.643545838238386	0.6	-1.5228660988691358	False
TCA_OXPHOS	TCA cycle and oxidative phosphorylation	carbohydrate_inflammatory_carbon	Figure_8	6	1	5	0.8333333333333334	1	neutrophil	0.8976218314191828	high_cellular_localization_support	-0.7519469604842841	0.9	-1.6762183141918283	False	1.9066258553923934	myeloid_dominant	-0.15287632834408077	0.6499999999999999	0.28493320048486626	IL1B_CXCL2_inflammatory_neutrophil	0.8539897284759822	-0.6744611978110976	0.9	-1.239897284759822	False
FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	lipid_metabolism	Figure_7	6	2	4	0.6666666666666666	1	neutrophil	0.858860677697751	high_cellular_localization_support	-0.981852363823916	0.8571428571428571	-1.5886067769775098	False	1.7767175355538745	myeloid_dominant	-0.03613321158997625	0.6071428571428572	0.2502968209029924	IL1B_CXCL2_inflammatory_neutrophil	0.9196903372362559	-0.931224201253111	1.0	-1.1969033723625582	False
MTOR_SIGNALING	mTOR signaling	carbohydrate_inflammatory_carbon	Figure_8	6	3	3	0.5	1	neutrophil	0.8894736842105262	high_cellular_localization_support	-0.5674907131709942	0.8421052631578947	-2.975006458438677	False	3.0187188575095947	myeloid_dominant	-0.04477608484163875	0.6578947368421053	0.22862515245017562	IL1B_CXCL2_inflammatory_neutrophil	0.9047464544787522	-0.6070582811696887	0.8947368421052632	-1.7843066500506797	False
COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture	Figure_10	6	3	3	0.5	1	dendritic	0.6072570085791539	moderate_cellular_localization_support	0.3161061181317849	0.875	0.602615022605475	False	2.129612126012427	myeloid_dominant	-0.005985087690561448	0.625	0.21464734253083917	CD83_CLEC10A_activated_dendritic	0.667375486491592	0.463182684517745	0.75	0.7551107042562137	False
PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	steroid_cholesterol_endocrine	Figure_7	6	2	4	0.6666666666666666	1	neutrophil	0.724768499269624	moderate_cellular_localization_support	-0.5801737579791866	0.7272727272727273	-1.1567759017871475	False	1.3476684014295977	myeloid_dominant	-0.02736961324759175	0.6363636363636364	0.1901229384157977	IL1B_CXCL2_inflammatory_neutrophil	0.5783343864602338	-0.4360703182379	0.5454545454545454	-1.54052918227942	False
COMPLEMENT_ALTERNATIVE	Alternative complement pathway	complement_architecture	Figure_10	6	5	1	0.8333333333333334	0	neutrophil	0.5907751144813221	directional_cellular_support	-0.8836047158688676	0.6	-0.7077511448132209	False	1.0233553776429631	multi_compartment_contextual	0.48912466359171636	0.6	0.5621601103274909	cytotoxic_NK	0.739006004944333	0.6354512457436848	0.8	0.7900600494433296	False
PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	lipid_metabolism	Figure_7	6	3	3	0.5	0	neutrophil	0.6260637623814843	directional_cellular_support	-0.4303947803717154	0.625	-1.512084600469404	False	1.9018753180016037	myeloid_dominant	-0.011565397025802553	0.5625	0.21189130833156505	PF4_MRC1_C1Q_macrophage	0.6804983304000871	-0.4366648115556523	0.625	-5.783818656577163	True
