category	supplementary_table	audit_id	pass	observed	expected	severity	note
critical_column	S4	critical_nonmissing::Independent-dataset recurrence ranking::n_independent_datasets	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S4	critical_nonmissing::Independent-dataset recurrence ranking::weighted_directional_coherence	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S4	critical_nonmissing::Independent-dataset recurrence ranking::validation_class	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::dataset	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::tissue	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::feature_id	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::effect_value	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::direction	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::dataset	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::feature_id	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::effect_value	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::direction	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::feature_id	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::C1_PRETERM_VS_TERM | bladder	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::C2_UPEC_VS_PBS_PREGNANCY | bladder	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::sample_id	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::condition	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::n_cells	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::adaptive_qc_pass_cells	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Cluster top-marker table::cluster	True	450/450	450/450	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Cluster top-marker table::rank	True	450/450	450/450	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Cluster top-marker table::gene_symbol	True	450/450	450/450	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::sample_id	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::condition	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::broad_cell_type	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::n_cells	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::fraction_of_QC_cells	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::sample_id	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::condition	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::refined_cell_subtype	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::n_cells	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::fraction_of_QC_cells	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Broad-cell localization summary::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Broad-cell localization summary::n_complete_populations	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Broad-cell localization summary::directional_coherence_fraction	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Core-module cellular localization::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Core-module cellular localization::n_complete_populations	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Core-module cellular localization::directional_coherence_fraction	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Refined-subtype localization summary::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Refined-subtype localization summary::n_complete_populations	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Refined-subtype localization summary::directional_coherence_fraction	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Core complement and endocrine-metabolic cellular attribution::feature_id	True	10/10	10/10	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Core complement and endocrine-metabolic cellular attribution::top_population_by_composite_score	True	10/10	10/10	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Core complement and endocrine-metabolic cellular attribution::cellular_localization_class	True	10/10	10/10	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Module-level cellular synthesis across immune populations::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Module-level cellular synthesis across immune populations::top_population_by_composite_score	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Module-level cellular synthesis across immune populations::cellular_localization_class	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Frozen Figure 1-8 asset manifest::package_path	True	83/83	83/83	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Frozen Figure 1-8 asset manifest::checksum_match	True	83/83	83/83	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Frozen Figure 1-8 asset manifest::asset_type	True	83/83	83/83	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Frozen Figure 1-8 asset manifest::figure_number	False	81/83	83/83	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Figure and panel title registry::figure_number	True	57/57	57/57	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Figure and panel title registry::panel	True	57/57	57/57	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Figure and panel title registry::panel_title	True	57/57	57/57	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Accession-corrected panel legend provenance registry::figure_number	True	57/57	57/57	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Accession-corrected panel legend provenance registry::panel	True	57/57	57/57	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S9	critical_nonmissing::Accession-corrected panel legend provenance registry::definitive_panel_legend	True	57/57	57/57	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Accession-corrected caveat terminology registry::caveat_id	True	8/8	8/8	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Accession-corrected caveat terminology registry::required_statement	True	8/8	8/8	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Cellular-localization claim-boundary matrix::finding_type	True	6/6	6/6	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Cellular-localization claim-boundary matrix::allowed_wording	True	6/6	6/6	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Cellular-localization claim-boundary matrix::avoid_wording	True	6/6	6/6	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Future accession validation rules::rule_id	True	2/2	2/2	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Future accession validation rules::term	True	2/2	2/2	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Future accession validation rules::rule	True	2/2	2/2	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Future accession validation rules::scientific_identity	True	2/2	2/2	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Accession correction and preservation traceability::source_unchanged	True	1/1	1/1	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Accession correction and preservation traceability::results_wrong_accession_absent	True	1/1	1/1	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S10	critical_nonmissing::Accession correction and preservation traceability::embedded_images_match_frozen_png_masters	True	1/1	1/1	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
numeric_domain	S1	numeric_domain::n_cell_columns	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S1	numeric_domain::channel_count	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S1	numeric_domain::data_row_count	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S2	numeric_domain::n_genes	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S3	numeric_domain::p_value	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S3	numeric_domain::fdr_bh	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S3	numeric_domain::auc_group_a_higher	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S3	numeric_domain::q_value_within_contrast	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S3	numeric_domain::q_value	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S3	numeric_domain::n_group_a	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S3	numeric_domain::n_group_b	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::weighted_directional_coherence	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::n_modules	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::n_independent_datasets	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::n_positive_datasets	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::n_negative_datasets	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::n_FDR10_datasets	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::n_moderate_effect_datasets	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S4	numeric_domain::n_large_effect_datasets	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S5	numeric_domain::q_value	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S5	numeric_domain::best_tissue_q_value	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S5	numeric_domain::n_tissues	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S5	numeric_domain::n_positive_tissues	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S5	numeric_domain::n_negative_tissues	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S6	numeric_domain::adaptive_qc_pass_fraction	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S6	numeric_domain::n_genes	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S6	numeric_domain::n_cells	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S6	numeric_domain::n_nonzero_values	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S6	numeric_domain::adaptive_qc_pass_cells	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S6	numeric_domain::rank	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S7	numeric_domain::directional_coherence_fraction	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S7	numeric_domain::median_gene_direction_coherence	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S7	numeric_domain::n_complete_populations	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S7	numeric_domain::n_positive_populations	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S7	numeric_domain::n_negative_populations	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S7	numeric_domain::n_populations_abs_g_ge_0_5	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S7	numeric_domain::n_populations_abs_g_ge_0_8	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S8	numeric_domain::directional_coherence_fraction	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S8	numeric_domain::median_gene_direction_coherence	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S8	numeric_domain::n_populations	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S8	numeric_domain::n_positive_populations	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S8	numeric_domain::n_negative_populations	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S8	numeric_domain::n_high_or_moderate_populations	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
numeric_domain	S9	numeric_domain::figure_number	True	nonnumeric=0; outside_or_negative=0	0; 0	BLOCKING	Probability/coherence fields must lie in [0,1], and count fields must be nonnegative.
manuscript_consistency	S1	supplementary_index_title_consistency	True	number_present=True; anchor_hits=5	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S2	supplementary_index_title_consistency	True	number_present=True; anchor_hits=4	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S3	supplementary_index_title_consistency	True	number_present=True; anchor_hits=5	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S4	supplementary_index_title_consistency	True	number_present=True; anchor_hits=5	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S5	supplementary_index_title_consistency	True	number_present=True; anchor_hits=4	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S6	supplementary_index_title_consistency	True	number_present=True; anchor_hits=5	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S7	supplementary_index_title_consistency	True	number_present=True; anchor_hits=4	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S8	supplementary_index_title_consistency	True	number_present=True; anchor_hits=4	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S9	supplementary_index_title_consistency	True	number_present=True; anchor_hits=5	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	S10	supplementary_index_title_consistency	True	number_present=True; anchor_hits=5	table number present and >= 2 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
manuscript_consistency	ACCESSION	supplementary_index_title_consistency	True	number_present=True; anchor_hits=1	table number present and >= 1 title-anchor hits	BLOCKING	The accession-corrected manuscript must index the same supplementary architecture.
archive_integrity	PACKAGE	zip_member_and_hash_integrity	True	test=True; tables=10; hash_matches=10	test=True; tables=10; hash_matches=10	BLOCKING	The controlled ZIP must contain byte-identical copies of all ten tables.
