paragraph_index	style	target_type	matched_pattern	text
2	Heading 2	title_or_running_title	\b(title|running title)\b	Working title
4	Heading 2	author_line	\b(author|authors)\b	Authors
6	Normal	author_line	\b(author|authors)\b	Affiliations and co-author list to be finalized before journal formatting.
11	Normal	dataset_accession	\bGSE\d{5,}\b	Methods: We reconstructed a multi-context host-response atlas from four public datasets: GSE112098, GSE280297, GSE186800 and GSE252321. Seventy-eight curated submodules spanning ten biological axes were scored within each native species and tissue context. Cross-dataset synthesis used standardized effects, recurrence and directional concordance rather than pooled raw expression. The GSE252321 single-cell experiment was rebuilt into broad and refined immune populations and used for descriptive cellular localization and pseudobulk module scoring.
19	Normal	dataset_accession	\bGSE\d{5,}\b	Here, we reconstructed a multi-context UTI host-response atlas using GSE112098, GSE280297, GSE186800 and GSE252321. We expanded the analysis to 78 submodules across ten endocrine, metabolic, complement and immune axes; resolved recurrent, provisional and context-divergent effects; rebuilt the single-cell experiment into broad and refined immune states; and integrated the results into an eight-figure mechanistic framework.
23	Normal	dataset_accession	\bGSE\d{5,}\b	The final framework comprised GSE112098 as a human urinary/systemic inflammatory comparator, GSE280297 as a mouse pregnancy-associated UTI model across bladder, placenta and uterus, GSE186800 as a mouse recurrent or prior-exposure bladder model, and GSE252321 as a four-sample single-cell UPEC experiment.
29	Normal	dataset_accession	\bGSE\d{5,}\b	For GSE280297, tissue samples were retained as the inferential units because dam identifiers were unavailable. Pregnancy contrasts included preterm versus term, UPEC versus mock/PBS during pregnancy, and pregnant versus nonpregnant bladder comparisons where design support was available.
34	Normal	dataset_accession	\bGSE\d{5,}\b	Four flat gene-by-cell matrices from GSE252321 were processed independently. Of 28,313 cells, 27,385 passed quality control. Marker-based clustering resolved 18 clusters, which were consolidated into six broad immune populations and 14 refined subtypes. Refined labels included LY6C2-VCAN inflammatory monocytes, RETNLA-MRC1 reparative macrophages, CD83-CLEC10A activated dendritic cells and MKI67-TOP2A cycling immune cells.
43	Normal	dataset_accession	\bGSE\d{5,}\b	We assembled a multi-context host-response atlas spanning a human urinary/systemic inflammatory comparator (GSE112098; n=73), a mouse pregnancy-associated UTI model sampled across bladder, placenta and uterus (GSE280297; n=60 tissue samples), a mouse recurrent or prior-exposure bladder model (GSE186800; n=20), and a four-sample single-cell UPEC experiment (GSE252321). The analytical framework comprised 78 curated submodules distributed across ten biological axes, including steroid-cholesterol-endocrine biology, lipid metabolism, adipokine and insulin/IRS signaling, inflammatory carbon metabolism, amino-acid metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, immune-context anchors and stress-adjacent signaling. Each dataset was analyzed independently in its native species and tissue context, and cross-study integration was performed using signed standardized effects, recurrence and directional concordance rather than pooled raw expression (Figure 1A-E).
49	Normal	dataset_accession	\bGSE\d{5,}\b	The GSE280297 design resolved mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC states across bladder, placenta and uterus. This architecture enabled separate evaluation of preterm-versus-term outcome effects, UPEC-versus-PBS effects during pregnancy and pregnant-versus-nonpregnant bladder effects. No broad pregnancy-wide false-discovery-rate signal was detected; accordingly, the pregnancy analyses were interpreted through effect size, tissue coherence and branch-level biological organization rather than through a claim of global significance. Tissue samples were retained as the inferential units because dam identifiers were unavailable (Figure 3A-C).
53	Normal	dataset_accession	\bGSE\d{5,}\b	The four GSE252321 samples contained 28,313 cells, of which 27,385 passed quality control. Marker-based reconstruction resolved 18 clusters that were consolidated into six broad immune populations and 14 refined subtypes, including LY6C2-VCAN inflammatory monocytes, RETNLA-MRC1 reparative macrophages, CD83-CLEC10A activated dendritic cells and MKI67-TOP2A cycling immune cells. Because the biological design comprised two control and two UPEC samples, all composition and localization results were treated as descriptive biological-replicate summaries rather than cell-level independent tests (Figure 4A-D).
86	Normal	dataset_accession	\bGSE\d{5,}\b	The GSE252321 single-cell layer contained two control and two UPEC biological samples. Cellular composition and localization are descriptive, and the minimum exact two-sided permutation p-value was 0.333. Large standardized effects in this setting can be variance artifacts and were not used as stand-alone evidence.
94	Heading 1	data_availability	\b(data availability|availability of data)\b	Data availability
95	Normal	dataset_accession	\bGSE\d{5,}\b	All datasets analyzed in this study are publicly available through the Gene Expression Omnibus under accession numbers GSE112098, GSE280297, GSE186800 and GSE252321. Dataset-specific roles, inclusion decisions, processed matrices, source locks and analysis manifests are documented within the project outputs. No new participant-level data were generated.
96	Heading 1	code_availability	\b(code availability|software availability)\b	Code availability
97	Normal	repository	\b(github|repository|zenodo|doi)\b	All analysis and manuscript-generation steps were implemented as reproducible scripts under `10_scripts/` in the project directory. Frozen figure assets, source-value tables, audit manifests and checksum records are retained in the corresponding phase-specific output directories. A public repository archive will be finalized before journal submission.
100	Heading 1	author_line	\b(author|authors)\b	Author contributions
100	Heading 1	author_contributions	\b(author contributions?|credit|cr[eé]dit)\b	Author contributions
101	Normal	author_line	\b(author|authors)\b	Reuben S. Maghembe conceived the study, designed the computational workflow, performed the integrative analysis, interpreted the results, and drafted the manuscript. Final author-contribution statements should be updated after co-author review and contribution confirmation.
102	Heading 1	competing_interests	\b(competing interests?|conflicts? of interest)\b	Competing interests
104	Heading 1	funding	\b(funding|financial support)\b	Funding
105	Normal	affiliation	\b(affiliation|department|university|college|company)\b	This work was supported by the Global Infectious Diseases Research Training Program, a collaboration between Kibong'oto Infectious Diseases Hospital and the University of Virginia, under the Fogarty International Center, National Institutes of Health grant D43 TW012247.
106	Heading 1	acknowledgements	\b(acknowledg(e)?ments?)\b	Acknowledgements
107	Normal	acknowledgements	\b(acknowledg(e)?ments?)\b	Acknowledgements should be added before submission.
108	Heading 1	supplementary	\b(supplementary|supporting information)\b	Supplementary tables
109	Normal	dataset_accession	\bGSE\d{5,}\b	Table S1. Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.
113	Normal	dataset_accession	\bGSE\d{5,}\b	Table S5. GSE280297 pregnancy, tissue and outcome-specific module effects.
114	Normal	dataset_accession	\bGSE\d{5,}\b	Table S6. GSE252321 quality control, cluster markers, broad populations and refined subtypes.
120	Normal	dataset_accession	\bGSE\d{5,}\b	Figure 1. Study architecture, datasets, contrasts and evidence hierarchy. (A) Conceptual map linking the cross-dataset infection core, pregnancy- and tissue-associated outcomes, endocrine-metabolic branches and cell-resolved immune localization under an explicit evidence hierarchy. (B) Dataset architecture comprising GSE112098, a human urinary/systemic inflammation comparator (n=73); GSE280297, a mouse pregnancy, tissue and outcome dataset (n=60 tissue samples); GSE186800, a mouse recurrent or prior-exposure bladder model (n=20); and GSE252321, a four-sample single-cell UPEC experiment. In GSE252321, 27,385 cells passed quality control, and a balanced subset was used for the displayed embedding. (C) Biological sample counts across bladder, placenta and uterus for the mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC groups in GSE280297. Tissue samples, rather than inferred dams, were retained as the statistical units. (D) Distribution of 78 curated submodules across ten biological axes, including steroid-cholesterol-endocrine biology, inflammatory carbon metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, amino-acid metabolism, lipid metabolism, immune-context anchors, adipokine signaling, insulin/IRS signaling and catecholamine-stress-adjacent biology. (E) Analytical workflow from expression repair and species-native module scoring through evidence synthesis and cellular attribution. Raw expression values were not pooled across studies, species or tissues. (F) Evidence hierarchy separating robust recurrent effects, provisional effects supported by one false-discovery-rate-qualified dataset plus independent concordance, context-divergent effects and limited independent support. All datasets were analyzed independently in their native species and tissue context. Cross-study integration was based on standardized effects and directional concordance, not merged raw expression.
124	Normal	dataset_accession	\bGSE\d{5,}\b	Figure 3. Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling. (A) Pregnancy and tissue design for GSE280297, showing the distribution of mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC samples across bladder, placenta and uterus. (B) Selected preterm-versus-term effects by tissue, illustrating the branch-selective pregnancy remodeling of endocrine, metabolic and complement modules. (C) Cross-tissue coherence of selected modules. Points show the median Hedges g across eligible tissues, with the accompanying directional-coherence annotation indicating whether tissue-specific estimates shared the same sign. (D) Domain-level summary of steroid synthesis-response decoupling. Steroidogenic and complement-effector branches tended to differ from attenuated steroid-receptor and metabolic-effector responses, supporting a branch-selective rather than globally activated or suppressed model. (E) UPEC-versus-PBS effects during pregnancy across tissues for selected signaling, endocrine, lipid, carbon and complement modules. (F) Pregnant-versus-nonpregnant bladder effects, summarized as Hedges g for selected modules. (G) Complement and inflammatory-carbon branches across the available pregnancy, infection and tissue contrasts. (H) Working model in which UPEC exposure during pregnancy engages TLR4/complement and inflammatory-carbon responses while steroid synthesis and androgen branches are partly uncoupled from attenuated receptor and metabolic-effector programs, producing tissue-specific outcome biology. Pregnancy findings are exploratory because no broad pregnancy-wide false-discovery-rate signal was detected. Tissue samples are the inferential units; no dam-level inference is made.
126	Normal	dataset_accession	\bGSE\d{5,}\b	Figure 4. Single-cell composition, immune states and cellular localization. (A) Balanced two-dimensional embedding of quality-controlled GSE252321 single cells, colored by broad immune population after marker-based reconstruction. (B) Cluster-marker validation heatmap using one high-priority marker per cluster to support the reconstructed broad and refined immune labels. (C) Broad-cell composition in two control and two UPEC samples. Bars show the fraction of quality-controlled cells assigned to each broad immune population. (D) Relative abundance of refined immune subtypes across the four biological samples, including inflammatory monocytes, reparative macrophages, activated dendritic cells, cycling immune cells and regulatory/type-2-like lymphoid states. (E) Fractions of macrophage/monocyte cells with detectable TNFSF9 and with TNFSF9 expression above the prespecified pooled high-expression threshold in control and UPEC samples. (F) Strict and expanded Treg-like fractions within T cells. Strict Treg-like cells required FOXP3 together with at least one supporting marker; the expanded definition required FOXP3 or at least two supporting markers. (G) Broad-cell localization of selected recurrent endocrine, metabolic, complement and inflammatory modules using module-mean gene log2 fold changes from independently constructed cell-type pseudobulks. (H) Descriptive model linking UPEC-associated myeloid expansion and activation, TNFSF9-positive macrophage states, T-cell/dendritic module localization and expansion of regulatory-inflammatory Treg-like states. Cellular analyses are descriptive and hypothesis-generating because GSE252321 contains n=2 control and n=2 UPEC biological samples. The minimum attainable exact two-sided permutation p-value is 0.333.
